Artículo,TP_exact,TP_partial,FP,FN,Precision,Recall,F1,F2,Avg_Norm_Levenshtein
articulo_1,17,4,21,47,0.5,0.3088235294117647,0.38181818181818183,0.33439490445859876,0.7916666666666666
articulo_2,0,4,11,18,0.26666666666666666,0.18181818181818182,0.21621621621621623,0.1941747572815534,0.8888888888888888
articulo_3,5,3,31,18,0.20512820512820512,0.3076923076923077,0.2461538461538462,0.27972027972027974,0.5555555555555555
articulo_4,5,16,11,27,0.65625,0.4375,0.525,0.46875,0.7042162698412697
articulo_5,0,0,1,21,0.0,0.0,0.0,0.0,
articulo_6,1,2,9,12,0.25,0.2,0.22222222222222224,0.20833333333333334,0.7083333333333333
articulo_7,0,0,1,19,0.0,0.0,0.0,0.0,
articulo_8,14,11,25,49,0.5,0.33783783783783783,0.4032258064516129,0.361271676300578,0.671969696969697
articulo_9,4,0,3,19,0.5714285714285714,0.17391304347826086,0.26666666666666666,0.20202020202020202,
articulo_10,0,2,1,5,0.6666666666666666,0.2857142857142857,0.4,0.3225806451612903,0.6666666666666666
articulo_11,34,33,99,73,0.4036144578313253,0.4785714285714286,0.4379084967320262,0.4614325068870524,0.6462537462537462
articulo_12,27,29,56,46,0.5,0.5490196078431373,0.5233644859813085,0.5384615384615385,0.7214573121266833
articulo_13,3,0,1,5,0.75,0.375,0.5,0.4166666666666667,
articulo_14,8,3,7,29,0.6111111111111112,0.275,0.3793103448275862,0.30898876404494385,0.7388888888888889
articulo_15,26,23,29,60,0.6282051282051282,0.44954128440366975,0.5240641711229947,0.47665369649805445,0.7213768115942029
articulo_16,12,20,31,43,0.5079365079365079,0.4266666666666667,0.463768115942029,0.44077134986225897,0.7599038461538461
articulo_17,22,7,28,48,0.5087719298245614,0.37662337662337664,0.4328358208955224,0.39726027397260283,0.6746031746031745
articulo_18,2,1,0,13,1.0,0.1875,0.3157894736842105,0.22388059701492538,0.6666666666666666
articulo_19,15,12,13,22,0.675,0.5510204081632653,0.6067415730337078,0.5720338983050847,0.670138888888889
articulo_20,13,7,19,19,0.5128205128205128,0.5128205128205128,0.5128205128205128,0.5128205128205128,0.5547619047619048
articulo_21,4,5,47,24,0.16071428571428573,0.2727272727272727,0.20224719101123598,0.23936170212765956,0.6766666666666666
articulo_22,6,1,5,19,0.5833333333333334,0.2692307692307692,0.3684210526315789,0.30172413793103453,0.5
articulo_23,7,3,7,34,0.5882352941176471,0.22727272727272727,0.32786885245901637,0.2590673575129534,0.7777777777777777
articulo_24,1,5,3,12,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.3703703703703703,0.8060439560439561
articulo_25,1,1,0,12,1.0,0.14285714285714285,0.25,0.17241379310344823,0.5
articulo_26,8,10,16,27,0.5294117647058824,0.4,0.4556962025316456,0.4205607476635514,0.7709523809523808
articulo_27,9,2,27,7,0.2894736842105263,0.6111111111111112,0.3928571428571429,0.5000000000000001,0.6071428571428572
articulo_28,6,4,8,17,0.5555555555555556,0.37037037037037035,0.4444444444444445,0.3968253968253968,0.825
articulo_29,14,4,20,29,0.47368421052631576,0.3829787234042553,0.4235294117647058,0.3982300884955752,0.5583333333333333
articulo_30,4,0,0,4,1.0,0.5,0.6666666666666666,0.5555555555555556,
articulo_31,2,1,2,7,0.6,0.3,0.4,0.3333333333333333,0.9090909090909091
articulo_32,9,3,9,17,0.5714285714285714,0.41379310344827586,0.48000000000000004,0.437956204379562,0.611111111111111
articulo_33,41,28,60,73,0.5348837209302325,0.4859154929577465,0.5092250922509224,0.4949784791965567,0.7383078231292517
articulo_34,21,8,42,59,0.4084507042253521,0.32954545454545453,0.3647798742138365,0.342789598108747,0.6696428571428572
articulo_35,8,7,22,21,0.40540540540540543,0.4166666666666667,0.4109589041095891,0.41436464088397795,0.619047619047619
articulo_36,8,14,27,37,0.4489795918367347,0.3728813559322034,0.4074074074074074,0.38596491228070173,0.667091836734694
articulo_37,60,37,129,76,0.42920353982300885,0.5606936416184971,0.4862155388471178,0.528322440087146,0.6256435006435006
articulo_38,10,1,11,28,0.5,0.28205128205128205,0.36065573770491804,0.3089887640449438,0.5
articulo_39,5,12,18,19,0.4857142857142857,0.4722222222222222,0.47887323943661975,0.4748603351955307,0.7374999999999999
articulo_40,43,28,90,49,0.4409937888198758,0.5916666666666667,0.505338078291815,0.5538221528861155,0.7271825396825398
